Date Made Public,Company,City,State,Type of breach,Type of organization,Total Records,Description of incident,Information Source,Source URL,Year of Breach,Latitude,Longitude
1-May-09,"LexisNexis, Investigative Professionals",Miamisburg,Ohio,CARD,BSO,"40,000","Companies Lexis Nexis and Investigative 
          Professionals have notified up to 40,000 individuals whose sensitive 
          and personally identifiable information may have been viewed 
          by individuals who did not have legitimate access. The data breach is linked 
          to a Nigerian scam artist who used the information to incur fraudulent 
          charges on victims' credit cards. Of the 40,000 individuals whose 
          information was accessed, up to 300 were compromised and used to obtain 
          fraudulent credit cards. The private information viewed included names, 
          dates of birth and possibly Social Security numbers.",Dataloss DB,,2009,39.642836,-84.286608
16-Feb-09,Wyndham Hotels & Resorts,Parsippany,New Jersey,HACK,BSO,"21,000","In mid-September 2008, the company 
            discovered that a sophisticated hacker penetrated the computer systems 
            of one of the hotels. By going through the centralized network connection, 
            the hacker was then able to access and download information from several, 
            but not all, of the other WHR properties and create a unique file 
            containing payment card information of a small percentage of WHR 
            customers. Potentially exposed through this breach are guest and/or 
            cardholder names and card numbers, expiration dates and other data 
            from the card's magnetic stripe.",Dataloss DB,,2009,40.857877,-74.425987
15-Sep-08,Forever21    ,Los Angeles,California,HACK,BSR,"98,930","If you shopped at the stores between 
          November 26, 2003, and October 24, 2005, criminals may have hijacked your 
          credit and debit card numbers from its computers. Approximately 20,500 
          of these numbers were obtained from the Fresno store transaction data. 
          The data included credit and debit card numbers and in some instances 
          expiration dates and other card data, but did not include customer name 
          and address.",Dataloss DB,,2008,34.052234,-118.243685
27-Jun-08,Montgomery Ward,Cedar Rapids,Iowa,HACK,BSR,"51,000","Hackers extracted information 
            from an online database that held credit card account information.",Dataloss DB,,2008,41.962501,-91.691847
1-May-08,Lunardi's Supermarket,Los Gatos,California,CARD,BSR,250,"An ATM and credit card reader              in a checkout aisle at the Los Gatos Lunardi's supermarket was recently              switched, resulting in cases of identity theft. Victims all had their              card numbers stolen after officials from Lunardi's contacted them              about a problem with one of their card readers.UPDATE             (8/4/08): Police arrested a man Friday that was involved with the              ATM scam at a Los Gatos supermarket that lost about $300,000. He was              booked into the Santa Clara County Jail in connection with burglary,              conspiracy, drunken driving, and further charges may be filed later,              according to the district attorney's office.",Dataloss DB,,2008,37.226611,-121.97468
25-Apr-08,Canton WiseBuys,Canton,New York,HACK,BSR,0,"Someone apparently hacked into 
            the Canton WiseBuys store computer system during a changeover between 
            December 5, 2007 and December 20, 2007. The hacker obtained personal identification 
            and banking numbers of hundreds of customers.",Media,,2008,44.595616,-75.169094
7-Apr-08,Redbox,Oakbrook Terrace,Illinois,CARD,BSR,0,"Redbox rents DVD movies via vending 
            machine in drugstores and supermarkets throughout the country. They 
            announced that they'd found credit card skimmers attached to three 
            of their kiosks.",Media,,2008,41.85003,-87.964508
23-Jun-08,Bank Atlantic,Tampa,Florida,CARD,BSF,0,"Bank Atlantic confirms they had 
            a data loss, involving their MasterCard debit cards. It happened through 
            a local merchant, but at this time, isn't saying which one.",Media,,2008,27.947522,-82.458428
3-Nov-06,West Shore Bank,Ludington,Michigan,CARD,BSF,"1,000","Customers' debit cards and 
            possibly credit cards were compromised from a security break last 
            summer at a common MasterCard point-of-purchase provider.",Dataloss DB,,2006,43.955283,-86.452583
3-Nov-06,Wesco   ,Muskegon,Michigan,CARD,BSR,0,"Wesco gas stations experienced 
            a breach in credit card transactions from July 25-Sept. 7 resulting 
            in inaccurate charges to customer accounts.",Dataloss DB,,2006,43.234181,-86.248392
6-Nov-08,Express Scripts,St. Louis,Missouri,UNKN,BSO,"700,000","Express Scripts has received a 
            letter demanding money from the company under the threat of exposing 
            records of millions of patients. The letter, included personal information 
            on 75 people covered by Express Scripts, including birth dates, Social 
            Security numbers and prescription information. Express manages prescription 
            benefits for roughly 50 million people. UPDATE 10/1/09: Express Scripts notified about 700,000 consumers that their records may have been breached.",Dataloss DB,,2008,38.646991,-90.224967
9-Apr-08, People's United Bank,Bridgeport,Connecticut,PHYS,BSF,0,"For four months, a dumpster diver 
            searched through trash bins outside People's United Bank branches 
            in Fairfield County. He pulled out bags of paperwork with private 
            information, including customers' Social Security numbers and account 
            information. UPDATE
            (5/1/08):

            The man who discovered bank records in the garbage outside local branches 
            of People's United Bank in Connecticut has been sued to prevent 
            him from informing people about the discovery. The man, discovered 
            financial documents, including customer names, Social Security numbers, 
            and account information. He was a no-show at a scheduled appearance 
            in court. The bank won a restraining order against the man, which 
            ordered him not to talk to bank customers, or disclose what he had 
            discovered. He disregarded the order and made a documentary about 
            the discovery. The man has already been fined $800 USD for refusing 
            to hold his tongue, and now he has also been ordered to pay the bank's 
            legal costs. According to the Connecticut Post, those costs are already 
            up to around $40,000 USD.",Media,,2008,41.167041,-73.204835
26-Mar-08,Bank of New York Mellon,Pittsburgh,Pennsylvania,PORT,BSF,"12,500,000","The company lost a box of computer              data tapes storing personal information including names, Social Security              numbers and possibly bank account numbers. UPDATE             (5/07/08): On February 27, Bank of New York Mellon gave the unencrypted              backup tape containing information on about 4.5 million consumers              -- hundreds of thousands of them People's United Bank customers              and investors -- and nine other tapes to a storage firm, Archive Systems,              Inc., for transportation to a storage facility. When the storage company              vehicle arrived at the storage facility, the tape was missing. The              other nine tapes reached the facility safely. UPDATE             (5/31/08): The Hartford              Courant reports the following figures regarding the number of              Connecticut shareholders affected by the lost computer tape:              403,894 People's United Bank             33,586 John Hancock Financial             18,361 Walt Disney Co.             10,000 the remaining shareholders UPDATE             (8/30/08): The estimated number of people affected by a data breach              at Bank of New York Mellon Corp has been raised from 4.5 million to              12.5 million. UPDATE             (2/19/09):              The Bank of New York Mellon will pay Connecticut $150,000 as part              of a settlement. The bank will continue to provide those affected              by the breach with credit monitoring and fraud alerts for a total              of 36 months of protection. It will also reimburse anyone for funds              stolen from their accounts as a direct result of the data breach.",Media,,2008,40.440625,-79.995886
23-Aug-07,Monster.com,Maynard,Massachusetts,HACK,BSO,0,"Monster announced                that the details of some 1.6 million job seekers had been stolen.                Fewer than 5,000 of those 1.6 million users affected are based outside                the United States. The information stolen was limited to names,                addresses, phone numbers and email addresses, and no other details                including bank account numbers were uploaded.                UPDATE (8/29/07) :               Hackers have stolen the names, e-mail addresses and telephone numbers                of about 146,000 subscribers to USAJOBS.gov. The hackers accessed                the information from the resume database run by Monster.com, which                provides the technology for USAJOBS.gov. Monster Worldwide told                OPM that no Social Security numbers were compromised.",Media,,2007,42.433427,-71.449507
29-Mar-07,RadioShack,Portland,Texas,PHYS,BSR,0,"20 boxes of 
            discarded records including sales receipts with names, addresses, 
            Social Security numbers, credit card information. and personal information 
            of store employees spanning from 2001 to 2005 were found in a dumpster. 
             UPDATE (04/03/07): 
            The Texas Attorney General's Office filed 
            an action against the Radio Shack store for violating the state's 
            violating the 2005 Identity Theft Enforcement and Protection Act.",Dataloss DB,,2007,27.877246,-97.323881
13-Dec-06,Boeing,Seattle,Washington,PORT,BSO,"382,000","In early December, a laptop 
            was stolen from an employee's car. Files contained names, salary information, 
            SSNs, home addresses, phone numbers and dates of birth of current 
            and former employees.  UPDATE
            (12/14/06): Boeing fired the employee whose laptop was stolen. 
            UPDATE(1/26/07): The 
            laptop was recovered.",Dataloss DB,,2006,47.60621,-122.332071
18-Jul-06,"CS Stars, subsidiary of insurance company Marsh Inc.",Chicago,Illinois,STAT,BSF,"722,000","On May 9, CS Stars lost 
            track of a personal computer containing records of more than a half 
            million New Yorkers who made claims to a special workers' comp fund. 
            The lost data includes SSNs and date of birth but apparently no medical 
            information. UPDATE (7/26/06):
            Computer was recovered. UPDATE
            (04/26/07): The  
            New York Attorney General's office  found that CS Stars violated 
            the state's security breach law. CS Stars must pay the Attorney General's 
            office $60,000 for investigation costs. It was determined that the 
            computer had been stolen by an employee of a cleaning contractor, 
            the missing computer was located and recovered, and that the data 
            on the missing computer had not been improperly accessed.",Security Breach Letter,,2006,41.850033,-87.650052
14-Jun-06,"American International Group (AIG), Indiana Office of Medical Excess, LLC",New York,New York,STAT,BSF,"930,000","The computer server was 
            stolen on March 31 containing personal information including names, 
            Social Security numbers, birth dates, and some medical and disability 
            information. UPDATE (1/12/2010) A 28-year-old Indianapolis man was sentenced today to two years in state
 prison for trying to extort $208,00 from an insurance company after 
stealing a computer server. In March 2006, the man burglarized the 
Indianapolis office of AIG Medical Excess, threatening to release 
clients' personal data on the Internet. The server contained the names 
of more than 900,000 insured persons, as well as their personal 
identifying information, and confidential medical information and e-mail
 communications. At the time of the burglary, the man was an employee of
 a private security firm that provided security services to the 
insurance company. On July 23, 2008, Stewart delivered a package to the 
insurance company. The package included a letter stating that he 
possessed the stolen server and its confidential data. He asked for 
$1,000 a week for four years, but the FBI and others intervened. The 
Indiana State Police, the Indiana Department of Natural Resources, 
Indianapolis Metropolitan Police Department, and Attorney General also 
were part of the investigation.
",Dataloss DB,,2006,40.714269,-74.005973
31-May-06,Texas Guaranteed Student Loan Corp. via subcontractor Hummingbird,Round Rock,Texas,UNKN,BSF,"1,700,000","Texas Guaranteed (TG) was 
            notified by subcontractor Hummingbird that on May 24, an employee 
            had lost a piece of equipment containing names and Social Security 
            numbers of TG borrowers. UPDATE 
            (6/16/06):TG now says 
            a total of 1.7 million people's information was compromised, 400,000 
            more than original estimate of 1.3 million.",Dataloss DB,,2006,30.508255,-97.678896
15-Feb-05,ChoicePoint,Alpharetta,Georgia,INSD,BSO,"163,000","Fraudsters who presented themselves as legitimate ChoicePoint customers purchased data profiles from ChoicePoint on individuals and used that data to commit identity theft. The initial number of affected records was estimated at 145,000 
                but was later revised to 163,000. 

                UPDATE(1/26/06): 
                ChoicePoint settled with the Federal 
                Trade Commission for $10 million in civil penalties and $5 
                million for consumer redress.
                UPDATE (12/06/06): 
                The FTC 
                announced that victims of identity theft as a result of the 
                data breach who had out-of-pocket expenses can now be reimbursed. 
                The claims deadline is Feb. 4, 2007.
                UPDATE (06/24/07): 
                Starting Dec. 2006, the FTC began mailing claims forms to victims 
                of the breach. Its Web 
                site provides information about the claims process. Deadline 
                is Aug. 18, 2007. Victims can be reimbursed for out-of-pocket 
                expenses resulting from identity theft connected to the breach. 
                Call (888) 884-8772, or email cpredress@ftc.gov. 

                UPDATE (11/04/07): 
                Since its 2005 data security incident, ChoicePoint has implemented 
                enhancements to its privacy and information security framework 
                including the establishment of an Office of Privacy, Ethics and 
                Compliance to reinforce the responsible use and protection of 
                information at ChoicePoint through policies and procedures, audit 
                and compliance, and outreach and education. Visit www.privacyatchoicepoint.com.
                UPDATE (1/27/08): 
                Has agreed to pay $10 million to settle a class action lawsuit",Security Breach Letter,,2005,34.075376,-84.29409
27-Apr-07,Google Ads,Mountain View,California,HACK,BSO,0,Top sponsored Google ads linked to 20 popular search terms were found to install a malware program on users' computers to capture personal information and access online accounts for 100 different banks.,Media,,2007,37.386052,-122.083851
21-Apr-07,Albertsons (Save Mart Supermarkets)         ,Alameda,California,CARD,BSR,100,Credit and debit card numbers were stolen using bogus checkout-line card readers resulting in card numbers processed at those terminals being captured and some to be misused.,Dataloss DB,,2007,37.765207,-122.241636
5-Apr-07,Security Title Agency,Phoenix,Arizona,HACK,BSF,0,"Hackers ""defaced"" the 
            company's Web site and may have accessed customer information which 
            is stored on the same server as the site.",Media,,2007,33.448377,-112.074037
19-Feb-07,Stop & Shop Supermarkets ,Quincy,Massachusetts,CARD,BSR,0,"Credit and debit card account 
            information including PIN numbers was stolen by high-tech thieves 
            who apparently broke into checkout-line card readers and PIN pads 
            and tampered with them.",Dataloss DB,,2007,42.252877,-71.002271
9-Nov-06,Four ARCO gas stations,Costa Mesa,California,CARD,BSR,440,"From Sept. 29 to Oct. 9, 
            thieves used card skimmers to steal bank account numbers and PIN codes 
            from gas station customers and used the information to fabricate debit 
            cards and make ATM withdrawals.",Dataloss DB,,2006,33.641132,-117.918669
25-Feb-05,Bank of America Corp.,Charlotte,North Carolina,PORT,BSF,"1,200,000","Computer tapes with credit card information, Social Security numbers, addresses and account numbers were lost.  Bank of America began monitoring the customer accounts on the lost tapes and said it would contact cardholders if unusual activity was detected.  Around 900,000 of the account holders affected were Defense Department employees.",Dataloss DB,,2005,35.227087,-80.843127
7-Mar-09,Google,Mountain View,California,DISC,BSO,0,"Google contacted some of its 
            users to let them know about a situation that affected its Google 
            Docs users. They believe the problem affected less than 0.05% of all 
            documents. Google identified and fixed a bug where a small percentage 
            of users shared some of their documents inadvertently. The bug occurred 
            when the document owner, or a collaborator with sharing rights, selected 
            multiple documents and presentations from the documents list and then 
            changed the sharing permissions. The bug did not affect spreadsheets.",Media,,2009,37.386052,-122.083851
29-Aug-06, AT&T via vendor that operates an order processing computer,San Francisco,California,HACK,BSO,"19,000","Computer hackers accessed 
              credit card account data and other personal information of customers 
              who purchased DSL equipment from AT&T's online store. The company 
              is notifying fewer than 19,000 customers.
              UPDATE (9/1/06).
              The breach was followed by a bogus phishing e-mail to those customers 
              that attempted to trick them into revealing more info such as SSN 
              and birthdate -- essential for crime of identity theft.",Dataloss DB,,2006,37.77493,-122.419416
1-Aug-06,Dollar Tree,Carmichael,California,HACK,BSR,0,"Customers of the discount 
            store have reported money stolen from their bank accounts due to unauthorized 
            ATM withdrawals. Data may have been intercepted by a thief's use of 
            a wireless laptop computer with the thief then creating counterfeit 
            ATM cards and using them to withdraw money.  UPDATE
            (10/5/06):
            Parkev Krmoian was indicted by a federal grand jury for allegedly 
            using phony ATM cards made from gift cards. The case is tied to the 
            Dollar Tree customer bank account thefts.",Dataloss DB,,2006,38.617127,-121.328284
5-Apr-05,MCI,Colorado Springs,Colorado,PORT,BSO,"16,500","A laptop containing names and Social Security numbers of current and
former employees was stolen from the car trunk of an MCI financial
analyst.  An MCI spokesperson stated that MCI would continue its policy
of allowing laptops to be taken home by employees and will evaluate new
security technologies.",Dataloss DB,,2005,38.833882,-104.821363
20-Apr-05,TD Ameritrade,Omaha,Nebraska,PORT,BSF,"200,000","A backup tape was lost, stolen, or accidentally destroyed while being shipped.  The tape contained account information from clients or former clients between the years of 2001 and 2003.  Ameritrade notified the affected clients and offered one free year of credit protection services.",Dataloss DB,,2005,41.254006,-95.999258
20-Dec-05,"Guidance Software, Inc.            ",Pasadena,California,HACK,BSO,"3,800","A hacked database exposed credit card numbers of law enforcement officials and network security professionals.  The company is a leading provider of software used to diagnose hacked attacks.UPDATE
            (4/3/07): The FTC came to a settlement agreement and final 
            consent order against Guidance Software.",Dataloss DB,,2005,34.147785,-118.144516
28-Apr-05,"Wachovia, Bank of America, PNC Financial Services Group and Commerce Bancorp ",Hackensack,New Jersey,INSD,BSF,"676,000",Bank employees illegally sold account information to someone posing as a collection agency.  Customers affected were notified and received one year of free credit monitoring services. ,Dataloss DB,,2005,40.885933,-74.043474
16-May-05,Westborough Bank,Westborough,Massachusetts,INSD,BSF,750,A former employee who ran an investment program from 1998 to 2001 may have given Social Security numbers and account information to a convicted felon known for defrauding senior citizens.  The bank mailed warning letters.,Dataloss DB,,2005,42.269539,-71.616178
30-May-05,Motorola,Schaumburg,Illinois,STAT,BSO,0,Two computers were stolen from third party vendor Affiliated Computer Services (ACS).  They had security safeguards and contained names and Social Security numbers of Motorola employees.  Motorola notified affected staff by email and offered fraud insurance coverage.,Dataloss DB,,2005,42.033361,-88.083406
6-Jun-05,"Citigroup, UPS",New York,New York,PORT,BSF,"3,900,000",Customers are being notified that backup tapes containing their account information were lost or stolen while being shipped by UPS.,Dataloss DB,,2005,40.714269,-74.005973
15-Apr-05,"Polo Ralph Lauren, HSBC",New York,New York,HACK,BSR,"180,000","Credit card data was stolen. Individuals holding the HSBC-issued General Motors Mastercard were told their cards should be replaced.              UPDATE(07/10/07): U.S. Secret Service 
              agents found Ralph Polo Lauren customers' credit card numbers in 
              the hands of Eastern European cyber thieves who created high-quality 
              counterfeit credit cards. Victims are from the U.S., Europe, Asia 
              and Canada, among other places, Several Cuban nationals in Florida 
              were arrested with more than 200,000 credit card account numbers.",Dataloss DB,,2005,40.714269,-74.005973
16-Jun-05,CardSystems,Tucson,Arizona,HACK,BSF,"40,000,000","Over 40 million card accounts 
            were exposed to potential fraud due to a security breach that occurred 
            at a third-party processor of payment card transactions. Of the more 
            than 40 million accounts exposed, information on 68,000 Mastercard 
            accounts, 100,000 Visa accounts and 30,000 accounts from other card 
            brands are known to have been exported by the hackers. The data exported 
            included names, card numbers and card security codes.UPDATE (2/23/2006) CardSystems agreed to settle Federal Trade Commission charges that it failed to take appropriate security measures to protect sensitive personal information. The company must implement a comprehensive security program and obtain audits every 2 years for 20 years.UPDATE (5/12/2006) CardSystems filed for bankruptcy.UPDATE
            (5/28/2009)

            Merrick Bank has launched a multi-million dollar lawsuit against Savvis, 
            accusing the vendor of erroneously telling it that CardSystems Solutions 
            complied with Visa and MasterCard security regulations less than a 
            year before the payment processor's systems were hacked, compromising 
            up to 40 million credit card accounts. Less than a year later the 
            security breach occurred. Hackers were able to get hold of the data 
            because CardSystems kept unencrypted card information on its servers 
            - in contravention of the regulations for which Savvis certified it. ",Dataloss DB,,2005,32.221743,-110.926479
29-Jun-05,Bank of America,Charlotte,North Carolina,PORT,BSF,"18,000","A laptop containing the names, Social Security numbers, and addresses of customers was stolen from a consultant's car.",Dataloss DB,,2005,35.227087,-80.843127
6-Jul-05,"City National Bank, Iron Mountain",Los Angeles,California,PORT,BSF,0,"Two tapes containing Social Security numbers, account numbers, and other customer information were lost or stolen during transportation.  The tapes have been missing since April.  City National Bank notified its customers.",Dataloss DB,,2005,34.052234,-118.243685
17-Sep-05,North Fork Bank (now Capital One Bank),New York,New York,PORT,BSF,"9,000","A laptop containing mortgage data was stolen from a North Fork Bank office on the weekend of July 24 of 2005.  Personal information included names, addresses, and mortgage account numbers.  Affected customers were contacted and offered one year of free credit monitoring services from Equifax.",Dataloss DB,,2005,40.714269,-74.005973
23-Sep-05,Bank of America ,Charlotte,North Carolina,PORT,BSF,0,"A laptop was stolen from a Bank of America service provider.  Information such as names, account numbers, routing transit numbers, and credit card numbers were compromised by the theft.  An unspecified number of Visa Buxx users were contacted by Bank of America.",Dataloss DB,,2005,35.227087,-80.843127
5-Nov-05,"Safeway, Hawaii ",Pleasanton,California,PORT,BSR,"1,400",A division director's laptop was stolen.  Names and Social Security numbers of some Hawaii workers were compromised by the theft.  The theft occurred in August and letters were sent to affected employees in October.,Dataloss DB,,2005,37.662431,-121.874679
18-Jul-06,"Nelnet Inc., UPS",Lincoln,Nebraska,PORT,BSO,"188,000","A computer tape containing 
            personal information of student loan customers and parents, mostly 
            from Colorado, was lost when shipped via UPS. The loans were previously 
            serviced by College Access Network between November 1, 2002 and May 31, 2006.",Dataloss DB,,2006,40.806862,-96.681679
9-Nov-05,TransUnion Credit Bureau,Chester,Pennsylvania,STAT,BSF,"3,623",A desktop containing Social Security numbers and other information was stolen from a regional sales office in California.  Affected consumers were notified and offered one year of free credit monitoring services.,Dataloss DB,,2005,39.849557,-75.355746
11-Nov-05,Scottrade Troy Group ,Santa Ana,California,HACK,BSF,0,"A hacker compromised a server containing names, Social Security numbers, driver's licenses, state ID numbers, dates of birth, phone numbers, bank names, bank codes, bank account numbers and Scottrade account numbers.  Scottrade alerted all affected customers.",Dataloss DB,,2005,33.745573,-117.867834
19-Nov-05,Boeing,Chicago,Illinois,PORT,BSO,"161,000","A laptop containing names, Social Security numbers, bank account information and other human resources data was stolen.  Affected current and former employees were notified.",Dataloss DB,,2005,41.850033,-87.650052
1-Dec-05,First Trust Bank ,Memphis,Tennessee,PORT,BSF,"100,000",A man claiming to be a janitor bypassed security and stole a laptop from the bank.  The laptop contained Social Security numbers and other personal information of current and former customers.  Affected customers were contacted and the theft was caught on tape.,Dataloss DB,,2005,35.149534,-90.04898
12-Dec-05,"Sam's Club, a division of Wal-Mart Stores, Inc",Bentonville ,Arkansas,UNKN,BSR,0,"
Customers who used credit cards at the wholesaler's gas stations discovered fraudulent activity on their credit accounts.  Sam's Club is unaware of how the information was stolen.  Visa alerted the affected financial institutions and asked them to provide fraud monitoring services for the affected customers.",Dataloss DB,,2005,36.372854,-94.208817
16-Dec-05,"La Salle Bank, ABN AMRO Mortgage Group, DHL",Ann Arbor,Michigan,PORT,BSF,"2,000,000",A backup              tape with residential mortgage customers' information was lost in shipment by DHL.  It              contained Social Security numbers and account information. UPDATE              (12/20/05): DHL found the lost tape.,Security Breach Letter,,2005,42.270872,-83.726329
22-Dec-05, H&R Block,Kansas City,Missouri,DISC,BSO,0,"Many past and present customers received unsolicited copies of the program TaxCut that displayed their Social Security numbers on the outside, embedded in a lengthy string of code.",Security Breach Letter,,2005,39.099727,-94.578567
2-Jan-06,H&R Block,Kansas City,Missouri,DISC,BSO,0,"H&R Block included Social Security numbers in a 40-digit 
            number string on mailing labels.  Affected individuals were contacted.",Dataloss DB,,2006,39.099727,-94.578567
12-Jan-06,People's Bank ,Bridgeport,Connecticut,PORT,BSF,"90,000","A computer tape containing 
            names, addresses, Social Security numbers, and checking account numbers was lost while being transported by UPS.  The bank alerted the affected customers and provided them with a credit monitoring service for one year.",Dataloss DB,,2006,41.167041,-73.204835
1-Feb-06,Blue Cross and Blue Shield of North Carolina ,Durham,North Carolina,DISC,BSO,629,"Social Security numbers of members were printed on the mailing labels of envelopes with information 
            about a new insurance plan.  Those who were affected were contacted immediately.",Dataloss DB,,2006,35.994033,-78.898619
6-Feb-06,Prudential Financial Inc.,Newark,New Jersey,DISC,BSF,"1,000","A health insurer claims data were erroneously faxed to a company in Canada by doctors and clinics across the U.S.. 
            Data included the patients' Social Security numbers, bank account details 
            and health care information.",Media,,2006,40.735657,-74.172367
31-Jan-06,Honeywell International            ,Morristown,New Jersey,UNKN,BSO,"19,000","Personal 
            information of current and former employees including Social Security 
            numbers and bank account information was posted on an Internet Web site. It was not known whether this was the result of a malicious insider or an administrative error.  Current and former employees whose information was compromised were informed immediately and offered free credit monitoring and identity theft insurance.",Dataloss DB,,2006,40.796767,-74.481544
26-Jun-06,AAAAA Rent-A-Space,Colma,California,DISC,BSO,"13,000","Customer's account information 
            including name, address, credit card, and Social Security number was 
            easily accessible due to a security gap in AAAAA's online payment system.",Dataloss DB,,2006,37.676878,-122.459695
23-Feb-06,"Deloitte & Touche, McAfee",,,PORT,BSO,"9,290","An external auditor lost a CD with names, Social Security numbers and stock holdings in McAfee of current and former McAfee employees.  Three thousand current employees and 6,000 former employees were affected.  Current and former employees received two years of free credit monitoring services from Equifax.",,,2006,37.09024,-95.712891
2-Mar-06,Olympic Funding,Chicago,Illinois,UNKN,BSF,0,"Three hard drives containing 
            clients' names, Social Security numbers, addresses and phone numbers 
            stolen during a break in.  Information on the drives was protected via password and security software.  The business owner sent letters to his clients alerting them of the theft.",Dataloss DB,,2006,41.850033,-87.650052
14-Mar-06,Buffalo Bisons and Choice One Online,Buffalo,New York,HACK,BSO,0,"A hacker accessed sensitive 
            financial information including the credit card numbers names, and passwords 
            of customers who ordered items online. The Bisons mailed letters to affected customers and notified American Express, MasterCard, Discover, and Visa.",Dataloss DB,,2006,42.886447,-78.878369
16-Mar-06,Bananas.com,San Rafael,California,HACK,BSR,274,"A hacker accessed names, 
              addresses, phone numbers and credit card numbers of customers.  The breach occurred in February and someone on the Internet began selling personal information shortly after.  Affected customers were notified in March.",Dataloss DB,,2006,37.973535,-122.531087
23-Mar-06,Fidelity Investments,Boston ,Massachusetts,PORT,BSF,"196,000","A laptop containing 
            names, addresses, birth dates, Social Security numbers and other information 
            of 196,000 Hewlett Packard, Compaq and DEC retirement account customers 
            was stolen. Fidelity contacted the customers and paid for one year of credit monitoring services.  Fidelity also pledged to pay for unauthorized transactions in pensions or retirement accounts that occurred due to the theft. ",Security Breach Letter,,2006,42.358431,-71.059773
19-Sep-06,Life Is Good,Hudson,New Hampshire,HACK,BSR,"9,250","Hackers accessed the retailer's 
            database which contained customer's credit card numbers. The company said 
            no other personal information was in the database.",Dataloss DB,,2006,42.764811,-71.439788
1-Apr-06,Con Edison,New York,New York,PORT,BSO,"15,000","Con Edison shipped two cartridge 
            tapes to JPMorgan Chase in upstate Binghamton so it could input data 
            on behalf of the NY Dept. of Taxation and Finance. One tape was apparently 
            lost and contained employees' W-2 data, including names, addresses, Social Security numbers, 
            taxes paid and salaries.",Dataloss DB,,2006,40.714269,-74.005973
6-Apr-06,Progressive Casualty Insurance,Mayfield Village,Ohio,INSD,BSF,13,"A dishonest insider accessed 
            confidential information, including names, Social Security numbers, 
            birth dates and property addresses on foreclosure properties she was 
            interested in buying.",Dataloss DB,,2006,39.49478,-84.37272
14-Apr-06,NewTech Imaging,Honolulu,Hawaii,INSD,BSO,"40,000","Records containing the 
            names, Social Security numbers and birth dates of more than 40,000 
            members of Voluntary Employees Benefit Association of Hawaii were illegally 
            reproduced at a copying business before they were to be put onto a 
            compact disc for the State. Police later found the data on a computer 
            that had been confiscated as part of a drug investigation.  Those who were on the list and Hawaii Government Employees Association and United Public Workers members who were enrolled in union-sponsored health and group life insurance plans between July and December 1999 were warned.  Investigators were only able to speculate that the theft may have occurred in February of 2005.",Dataloss DB,,2006,21.306944,-157.858333
21-Apr-06,Boeing,Seattle,Washington,PORT,BSO,"3,600","A laptop was taken from 
            a Boeing human resources employee at Sea-Tac airport. It contained 
            Social Security numbers and other personal information, including personnel information 
            from the 2000 acquisition of Hughes Space and Communications.",Dataloss DB,,2006,47.60621,-122.332071
5-May-06,Wells Fargo,San Francisco,California,STAT,BSF,0,"A computer containing names, 
            addresses, Social Security numbers and mortgage loan deposit numbers 
            of existing and prospective customers may have been stolen while being 
            delivered from one bank facility to another.",Dataloss DB,,2006,37.77493,-122.419416
12-May-06,Mercantile Potomac Bank,Gaithersburg,Maryland,PORT,BSF,"48,000","A laptop containing confidential 
            information about customers, including Social Security numbers and 
            account numbers was stolen when a bank employee removed it from the 
            premises, in violation of the bank's policies. The computer did not 
            contain customer passwords, personal identification numbers (PIN numbers) 
            or account expiration dates. The bank contacted affected customers and offered them one year of free credit monitoring services.",Dataloss DB,,2006,39.143441,-77.201371
17-May-06,M &T Bank via contractor PFPC,Buffalo,New York,PORT,BSF,0,"A laptop computer, owned 
            by PFPC, a third party company that provides record keeping services 
            for M & T's Portfolio Architect accounts was stolen from a vehicle. 
            The laptop contained clients' account numbers, Social Security numbers, 
            last name and the first two letters of their first name.",Security Breach Letter,,2006,42.886447,-78.878369
25-May-06,VyStar Credit Union,Jacksonville,Florida,HACK,BSF,"34,400","Hacker gained access to 
            member accounts a and stole personal information 
            including names, addresses, birth dates, mother's maiden names, Social Security numbers 
            and/or email addresses. Less than 10% of VyStar's 344,000 members were affected.",Dataloss DB,,2006,30.332184,-81.655651
8-Jun-06,University of Michigan Credit Union ,Ann Arbor,Michigan,PHYS,BSF,"5,000","Paper documents containing 
            personal information of credit union members were stolen from a storage 
            room. The documents were supposed to have been digitally imaged and 
            then shredded. Instead, they were stolen and used to perpetrate identity 
            theft.",Dataloss DB,,2006,42.270872,-83.726329
18-Jun-06,ING U.S. Financial Services,Washington,District Of Columbia,PORT,BSF,"13,000","A laptop was stolen from an employee's 
            home.  It contained retirement plan information including Social Security 
            numbers of D.C. city employees.",Dataloss DB,,2006,38.895112,-77.036366
30-Jun-06,National Institutes of Health Federal Credit Union,Rockville,Maryland,UNKN,BSF,"41,000","NIHFCU and law enforcement are investigating the identity theft of some of its 41,000 members. 
            No details were given on the type of information stolen, or how it was stolen.",Media,,2006,39.083997,-77.152758
14-Mar-06,General Motors (GM),Detroit,Michigan,INSD,BSO,100,"A former security guard kept 
            Social Security numbers of co-workers to perpetrate identity theft. The disgruntled former employee sent harassing emails to employees after gaining access to personal information including the types of cars they drove. ",Dataloss DB,,2006,42.331427,-83.045754
